title	publisher	urls	eIssn	pIssn	subjects	society	empty
European Journal of Preventive Cardiology	SAGE Publications 	http://cpr.sagepub.com 	2047-4881 	2047-4873 	Unknown	European Journal of Cardiovascular Prevention & Rehabilitation (EACPR) of the Eu 	
The European Journal of Public Health	Oxford University Press 	http://eurpub.oxfordjournals.org 	1464-360X 	1101-1262 	Unknown	Unknown	
European Journal of Social Theory	SAGE Publications 	http://est.sagepub.com 	1461-7137 	1368-4310 	Unknown	Unknown	
European Journal of Women's Studies	SAGE Publications 	http://ejw.sagepub.com 	1461-7420 	1350-5068 	Unknown	WISE (The European Women's Studies Association) 	
European Physical Education Review	SAGE Publications 	http://epe.sagepub.com 	1741-2749 	1356-336X 	Unknown	North West Counties Physical Education Association 	
European Respiratory Journal	European Respiratory Society 	http://erj.ersjournals.com 	1399-3003 	0903-1936 	Medicine 	European Respiratory Society 	
European Respiratory Monograph	European Respiratory Society 	http://erm.ersjournals.com 	2075-6674 	1025-448x 	Medicine 	European Respiratory Society 	
European Respiratory Review	European Respiratory Society 	http://err.ersjournals.com 	1600-0617 	0905-9180 	Medicine 	European Respiratory Society 	
European Review of Agricultural Economics	Oxford University Press 	http://erae.oxfordjournals.org 	1464-3618 	0165-1587 	Agriculture Economic Science 	Unknown	
European Review of Economic History	Oxford University Press 	http://ereh.oxfordjournals.org 	1474-0044 	1361-4916 	Unknown	Oxford University Press 	
European Sociological Review	Oxford University Press 	http://esr.oxfordjournals.org 	1468-2672 	0266-7215 	Sociology 	Unknown	
European Union Politics	SAGE Publications 	http://eup.sagepub.com 	1741-2757 	1465-1165 	Unknown	Unknown	
European Urban and Regional Studies	SAGE Publications 	http://eur.sagepub.com 	1461-7145 	0969-7764 	Unknown	Unknown	
Evaluation	SAGE Publications 	http://evi.sagepub.com 	1461-7153 	1356-3890 	Unknown	The Tavistock Institute 	
Evaluation & the Health Professions	SAGE Publications 	http://ehp.sagepub.com 	1552-3918 	0163-2787 	Unknown	Unknown	
Evaluation Review	SAGE Publications 	http://erx.sagepub.com 	1552-3926 	0193-841X 	Unknown	Unknown	
Evidence-Based Medicine	         BMJ Publishing Group Ltd 	http://ebm.bmj.com 	1473-6810 	1356-5524 	Evidence Based Practice General Practice / Primary Care Medicine 	BMJ Publishing Group Ltd 	
Evidence-Based Mental Health	BMJ Group 	http://ebmh.bmj.com 	1468-960X 	1362-0347 	Evidence Based Practice Medicine Psychiatry Psychology 	BMJ Publishing Group 	
Evidence-Based Nursing	BMJ Publishing Group Ltd 	http://ebn.bmj.com 	1468-9618 	1367-6539 	Evidence Based Practice General Practice / Primary Care Medicine 	Health Information Research Unit at McMaster University. 	
Experimental Biology and Medicine	Royal Society of Medicine Press 	http://ebm.rsmjournals.com 	1535-3699 	1535-3702 	Unknown	Society for Experimental Biology and Medicine 	
Experimental Physiology	Blackwell Publishing 	http://ep.physoc.org 	1469-445X 	0958-0670 	Unknown	The Physiological Society  	
Exploration and Mining Geology	Canadian Institute of Mining, Metallurgy, and Petroleum 	http://emg.geoscienceworld.org 	Unknown	0964-1823 	Unknown	Canadian Institute of Mining, Metallurgy, and Petroleum 	
The Expository Times	SAGE Publications 	http://ext.sagepub.com 	1745-5308 	0014-5246 	Unknown	Unknown	
Family Business Review	SAGE Publications 	http://fbr.sagepub.com 	1741-6248 	0894-4865 	Unknown	Family Firm Institute 	
The Family Journal	SAGE Publications 	http://tfj.sagepub.com 	1552-3950 	1066-4807 	Unknown	International Association of Marriage and Family Counselors 	
Family Practice	Oxford University Press 	http://fampra.oxfordjournals.org 	1460-2229 	0263-2136 	Clinical Medicine General Practice / Primary Care Medicine 	Unknown	
The FASEB Journal	Federation of American Societies for Experimental Biology 	http://www.fasebj.org 	1530-6860 	0892-6638 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Earth Sciences Ecology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Population Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	Federation of American Societies for Experimental Biology 	
Feminism & Psychology	SAGE Publications 	http://fap.sagepub.com 	1461-7161 	0959-3535 	Unknown	Unknown	
Feminist Criminology	SAGE Publications  	http://fcx.sagepub.com 	1557-086X 	1557-0851 	Unknown	Division on Women and Crime of the American Society of Criminology 	
Feminist Theology	SAGE Publications 	http://fth.sagepub.com 	1745-5189 	0966-7350 	Unknown	Unknown	
Feminist Theory	SAGE Publications 	http://fty.sagepub.com 	1741-2773 	1464-7001 	Unknown	Unknown	
Field Methods	SAGE Publications 	http://fmx.sagepub.com 	1552-3969 	1525-822X 	Unknown	Unknown	
First Language	SAGE Publications 	http://fla.sagepub.com 	1740-2344 	0142-7237 	Unknown	Unknown	
Focus on Autism and Other Developmental Disabilities	SAGE Publications 	http://foa.sagepub.com 	1538-4829 	1088-3576 	Unknown	Hammill Institute, SAGE, and Division on Developmental Disabilities  	
Food Science and Technology International	SAGE Publications 	http://fst.sagepub.com 	1532-1738 	1082-0132 	Unknown	Consejo Superior de Investigaciones CientÃ Â­ficas (Spanish Council for Scientific Research); Instituto de AgroquÃ Â­mica y TecnologÃ Â­a de Alimentos (Institute of Agrochemistry and Food Technology) 	
Foot & Ankle Specialist	SAGE Publications 	http://fas.sagepub.com 	1938-7636 	1938-6400 	Unknown	Unknown	
Forest & Conservation History	Oxford University Press 	http://foreconshist.oxfordjournals.org 	Unknown	1046-7009 	Unknown	Forest History Society 	
Forestry	Oxford University Press 	http://forestry.oxfordjournals.org 	1464-3626 	0015-752X 	Unknown	Unknown	
Forum for Modern Language Studies	Oxford University Press 	http://fmls.oxfordjournals.org 	1471-6860 	0015-8518 	Unknown	Unknown	
French Cultural Studies	SAGE Publications 	http://frc.sagepub.com 	1740-2352 	0957-1558 	Unknown	Unknown	
French Historical Studies	Duke University Press 	http://fhs.dukejournals.org 	1527-5493 	0016-1071 	Unknown	Society for French Historical Studies 	
French History	Oxford University Press 	http://fh.oxfordjournals.org 	1477-4542 	0269-1191 	Unknown	Unknown	
French Studies	Oxford University Press 	http://fs.oxfordjournals.org 	1468-2931 	0016-1128 	Unknown	Unknown	
French Studies Bulletin	Oxford University Press 	http://fsb.oxfordjournals.org 	1748-9180 	0262-2750 	Unknown	Society for French Studies 	
Frontline Gastroenterology	BMJ Publishing Group Ltd 	http://fg.bmj.com 	2041 4145 	2041 4137 	Unknown	n/a 	
G3&amp;#58; Genes|Genomes|Genetics	Genetics Society of America 	http://www.g3journal.org 	2160-1836 	Unknown	Unknown	Genetics Society of America 	
Games and Culture	SAGE Publications 	http://gac.sagepub.com 	1555-4139 	1555-4120 	Unknown	SAGE Publications  	
Gender & Society	SAGE Publications 	http://gas.sagepub.com 	1552-3977 	0891-2432 	Unknown	Sociologists for Women in Society 	
Gender, Technology and Development	SAGE Publications 	http://gtd.sagepub.com 	0973-0656 	0971-8524 	Unknown	SAGE Publications 	
General Music Today	SAGE Publications 	http://gmt.sagepub.com 	1931-3756 	1048-3713 	Unknown	MENC: The National Association for Music Education  	
Genes & Cancer	SAGE Publications 	http://gan.sagepub.com 	1947-6027 	1947-6019 	Unknown	SAGE Publications 	
Genes & Development	Cold Spring Harbor Laboratory Press 	http://genesdev.cshlp.org 	1549-5477 	0890-9369 	Accident and Emergency Medicine Agriculture Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics Immunology Infectious Diseases Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Population Biology Psychology Radiology Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Surgery Virology Women's Health 	Cold Spring Harbor Laboratory 	
Genetics	Genetics Society of America 	http://www.genetics.org 	1943-2631 	0016-6731 	Accident and Emergency Medicine Agriculture Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Computer Science Dermatology Developmental Biology Earth Sciences Ecology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics Immunology Materials Science Medicine Microbiology Neuroscience Nutrition Oceanography Oncology Pathology Pharmacology Physics Physiology Plant Biology Population Biology Psychiatry Psychology Radiology Rehabilitation Medicine Respiratory Medicine Sexual Medicine Sociology Statistics Surgery Travel Medicine Virology Women's Health 	 Genetics Society of America 	
Genome Biology and Evolution	Oxford University Press 	http://gbe.oxfordjournals.org 	1759-6653 	Unknown	Unknown	Society for Molecular Biology and Evolution 	
Genome Research	Cold Spring Harbor Laboratory Press 	http://genome.cshlp.org 	1549-5469 	1088-9051 	Agriculture Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Ecology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Genomics Immunology Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pharmacology Physics Physiology Plant Biology Population Biology Psychology Renal and Urologic Medicine Respiratory Medicine Rheumatology Statistics Surgery Virology Women's Health 	Cold Spring Harbor Laboratory 	
Geochemistry: Exploration, Environment, Analysis	Geological Society of London 	http://geea.lyellcollection.org 	2041-4943 	1467-7873 	Unknown	Geological Society of London and Association of Applied Geochemists 	
Geological Society of America Bulletin	Geological Society of America 	http://gsabulletin.gsapubs.org 	1943-2674 	0016-7606 	Unknown	Geological Society of America 	
Geological Society, London, Engineering Geology Special Publications	The Geological Society of London 	http://egsp.lyellcollection.org 	2041-4730 	0267-9914 	Unknown	The Geological Society of London 	
Geological Society, London, Memoirs	The Geological Society of London 	http://mem.lyellcollection.org 	2041-4722 	0435-4052 	Unknown	The Geological Society of London 	
Geological Society, London, Petroleum Geology Conference series	Geological Society of London  	http://pgc.lyellcollection.org 	2047-9921 	Unknown	Unknown	The Geological Society of London  	
Geological Society, London, Special Publications	The Geological Society of London 	http://sp.lyellcollection.org 	2041-4927 	0305-8719 	Unknown	The Geological Society of London 	
Geology	Geological Society of America 	http://geology.gsapubs.org 	1943-2682 	0091-7613 	Unknown	Geological Society of America 	
Geophysical Journal International	Oxford University Press 	http://gji.oxfordjournals.org 	1365-246X 	0956-540X 	Unknown	Oxford University Press 	
Geophysical Supplements to the Monthly Notices of the Royal Astronomical Society	Oxford University Press 	http://gsmnras.oxfordjournals.org 	2051-1973 	2051-1965 	Unknown	Oxford University Press 	
Geophysics	The Society of Exploration Geophysicists 	http://geophysics.geoscienceworld.org 	1942-2156 	0016-8033 	Unknown	The Society of Exploration Geophysicists 	
Geosphere	Geological Society of America 	http://geosphere.gsapubs.org 	1553-040X 	Unknown	Unknown	Geological Society of America 	
Geriatric Orthopaedic Surgery & Rehabilitation	SAGE Publications 	http://gos.sagepub.com 	2151-4593 	2151-4585 	Unknown	Unknown	
German History	Oxford University Press 	http://gh.oxfordjournals.org 	1477-089X 	0266-3554 	Unknown	German History Society 	
The Gerontologist	Oxford University Press 	http://gerontologist.oxfordjournals.org 	1758-5341 	0016-9013 	Unknown	The Gerontological Society of America 	
Gifted Child Quarterly	SAGE Publications 	http://gcq.sagepub.com 	1934-9041 	0016-9862 	Unknown	National Association for Gifted Children 	
Gifted Education International	Unknown	http://gei.sagepub.com 	2047-9077 	0261-4294 	Unknown	Unknown	
Global Business Review	SAGE Publications 	http://gbr.sagepub.com 	0973-0664 	0972-1509 	Unknown	SAGE Publications 	
Global Health Promotion	SAGE Publications 	http://ped.sagepub.com 	1757-9767 	1757-9759 	Unknown	International Union for Health Promotion and Education 	
Global Journal of Emerging Market Economies	SAGE Publications 	http://eme.sagepub.com 	0975-2730 	0974-9101 	Unknown	Unknown	
Global Media and Communication	SAGE Publications  	http://gmc.sagepub.com 	1742-7673 	1742-7665 	Unknown	SAGE Publications  	
Global Social Policy	SAGE Publications 	http://gsp.sagepub.com 	1741-2803 	1468-0181 	Unknown	Unknown	
GLQ: A Journal of Lesbian and Gay Studies	Duke University Press 	http://glq.dukejournals.org 	1527-9375 	1064-2684 	Unknown	Unknown	
Glycobiology	Oxford University Press 	http://glycob.oxfordjournals.org 	1460-2423 	0959-6658 	Agriculture Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Dermatology Developmental Biology Ecology Endocrinology Evidence Based Practice Evolution Gastroenterology Genetics Immunology Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Pathology Pharmacology Physics Physiology Plant Biology Respiratory Medicine Rheumatology Surgery Travel Medicine Virology Women's Health 	Society for Glycobiology 	
Group & Organization Management	SAGE Publications 	http://gom.sagepub.com 	1552-3993 	1059-6011 	Unknown	Eastern Academy of Management 	
Group Analysis	SAGE Publications 	http://gaq.sagepub.com 	1461-717X 	0533-3164 	Unknown	The Group-Analytic Society 	
Group Processes & Intergroup Relations	SAGE Publications 	http://gpi.sagepub.com 	1461-7188 	1368-4302 	Unknown	Unknown	
APTA Guide to Physical Therapist Practice	American Physical Therapy Association (APTA) 	http://guidetoptpractice.apta.org 	Unknown	1-887759-85-9 	Unknown	American Physical Therapy Association (APTA) 	
Gut	BMJ Publishing Group Ltd 	http://gut.bmj.com 	1468-3288 	0017-5749 	Accident and Emergency Medicine Agriculture Anesthesia, Analgesia, Pain Biochemistry Cardiovascular Medicine and Stroke Cell Biology Chemistry Complementary Medicine Dermatology Developmental Biology Ecology Endocrinology Evidence Based Practice Gastroenterology Genetics Genomics General Practice / Primary Care Immunology Infectious Diseases Materials Science Medicine Microbiology Neuroscience Nutrition Oncology Palliative Medicine Pathology Pediatrics Pharmacology Physics Physiology Plant Biology Psychiatry Psychology Radiology Rehabilitation Medicine Renal and Urologic Medicine Respiratory Medicine Rheumatology Sexual Medicine Sociology Sports and Exercise Medicine Statistics Surgery Travel Medicine Virology Women's Health 	BMJ Group 	
Haematologica	Ferrata Storti Foundation, Pavia, Italy 	http://www.haematologica.org 	1592-8721 	0390-6078 	Unknown	Ferrata Storti Foundation, Pavia, Italy 	
