pIssn	eIssn	title	urls	subject	isStm	society	emptyField
1329-1947	1747-4477	AUSTRALIAN ENDODONTIC JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1747-4477	Medical, Veterinary and Health Sciences	STM Collection	Australian Society of Endodontology Inc	 
1364-985X	1467-8489	AUSTRALIAN JOURNAL OF AGRICULTURAL & RESOURCE ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8489	Business, Economics, Finance and Accounting    		Australian Agricultural and Resource Economics Society Inc	 
1326-6756	1440-6055	AUSTRALIAN JOURNAL OF ENTOMOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-6055	Life Sciences	STM Collection	Australian Entomological Society	 
1322-7130	1755-0238	AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-0238	Chemistry   	STM Collection	Australian Society of Viticulture and Oenology Inc	 
0004-9522	1467-8497	AUSTRALIAN JOURNAL OF POLITICS AND HISTORY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8497	Humanities and Social Sciences			 
0004-9530	1742-9536	AUSTRALIAN JOURNAL OF PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-9536	Psychology		Australian Psychology Society	 
0313-6647	1467-8500	AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8500	Business, Economics, Finance and Accounting    		Institute of Public Administration Australia	 
1038-5282	1440-1584	AUSTRALIAN JOURNAL OF RURAL HEALTH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1584	Medical, Veterinary and Health Sciences	STM Collection	National Rural Health Alliance	 
0045-0766	1440-1630	AUSTRALIAN OCCUPATIONAL THERAPY JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1630	Medical, Veterinary and Health Sciences	STM Collection	Australian Association of Occupational Therapists Inc.	 
0005-0067	1742-9544	AUSTRALIAN PSYCHOLOGIST	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-9544	Psychology		Australian Psychological Society	 
0005-0423	1751-0813	AUSTRALIAN VETERINARY JOURNAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-0813	Medical, Veterinary and Health Sciences	STM Collection	Australian Veterinary Association	 
1939-3792	1939-3806	AUTISM RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1939-3806	Medical, Veterinary and Health Sciences		International Society for Autism Research	 
1474-8665	1474-8673	AUTONOMIC & AUTACOID PHARMACOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1474-8673	Medical, Veterinary and Health Sciences	STM Collection		 
1651-0534	Print Only	BARNLAKAREN	Print Only	Medical, Veterinary and Health Sciences		Swedish Paediatric Society	 
1742-7835	1742-7843	BASIC AND CLINICAL PHARMACOLOGY & TOXICOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-7843	Medical, Veterinary and Health Sciences	STM Collection	Nordic Pharmacological Societies	 
0950-091X	1365-2117	BASIN RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2117	Earth and Environmental Science	STM Collection	European Association of Geoscientists and Engineers	 
0171-5445	1437-0980	BAUPHYSIK	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-0980	Engineering 	STM Collection		 
0932-8351	1437-0999	BAUTECHNIK	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-0999	Engineering 	STM Collection		 
1072-0847	1099-078X	BEHAVIORAL INTERVENTIONS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-078X	Psychology			 
0735-3936	1099-0798	BEHAVIORAL SCIENCES & THE LAW	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0798	Psychology			 
1089-7089	1538-7305	BELL LABS TECHNICAL JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1538-7305	Information Science and Computing		Lucent Technologies	 
0170-6233	1522-2365	BERICHTE ZUR WISSENSCHAFTSGESCHICHTE	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2365	Chemistry   	STM Collection		 
0005-9900	1437-1006	BETON- UND STAHLBETONBAU	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-1006	Engineering 	STM Collection		 
1470-8175	1539-3429	BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1539-3429	Education		International Union of Biochemistry and Molecular Biology	 
0197-8462	1521-186X	BIOELECTROMAGNETICS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-186X	Life Sciences	STM Collection	Bioelectromagnetics Society	 
0265-9247	1521-1878	BIOESSAYS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-1878	Life Sciences	STM Collection		 
0269-9702	1467-8519	BIOETHICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8519	Humanities and Social Sciences		International Association of Bioethics	 
0951-6433	1872-8081	BIOFACTORS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1872-8081	Life Sciences		International Union of Biochemistry and Molecular Biology	 
1932-104X	1932-1031	BIOFUELS, BIOPRODUCTS AND BIOREFINING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-1031	Chemistry   		Society of Industrial Chemistry	 
0024-4066	1095-8312	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1095-8312	Life Sciences	STM Collection	Linnean Society of London	 
1464-7931	1469-185X	BIOLOGICAL REVIEWS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-185X	Life Sciences	STM Collection	Cambridge Philosophical Society	 
0045-205X	1521-415X	BIOLOGIE IN UNSERER ZEIT (BIUZ)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-415X	Life Sciences	STM Collection		 
0248-4900	1768-322X	BIOLOGY OF THE CELL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1768-322X	Medical, Veterinary and Health Sciences	STM Collection	Societe de Biologie Cellulaire Francaise (SBCF)	 
0269-3879	1099-0801	BIOMEDICAL CHROMATOGRAPHY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0801	Chemistry   	STM Collection		 
0323-3847	1521-4036	BIOMETRICAL JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4036	Mathematics and Statistics	STM Collection		 
0006-341X	1541-0420	BIOMETRICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1541-0420	Mathematics and Statistics	STM Collection	International Biometric Society	 
0142-2782	1099-081X	BIOPHARMACEUTICS AND DRUG DISPOSITION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-081X	Medical, Veterinary and Health Sciences	STM Collection		 
0006-3525	1097-0282	BIOPOLYMERS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0282	Chemistry	STM Collection		 
0006-3592	1097-0290	BIOTECHNOLOGY & BIOENGINEERING	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0290	Life Sciences	STM Collection		 
0885-4513	1470-8744	BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1470-8744	Life Sciences		International Union of Biochemistry and Molecular Biology	 
1860-6768	1860-7314	BIOTECHNOLOGY JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-7314	Life Sciences			 
8756-7938	1520-6033	BIOTECHNOLOGY PROGRESS	http://onlinelibrary.wiley.com/journal/10.1021/(ISSN)1520-6033	Life Sciences		American Institute of Chemical Engineers	 
0006-3606	1744-7429	BIOTROPICA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7429	Life Sciences	STM Collection	Association for Tropical Biology and Conservation	 
1398-5647	1399-5618	BIPOLAR DISORDERS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-5618	Medical, Veterinary and Health Sciences	STM Collection	International Society for Bipolar Disorders (ISBD)	 
0730-7659	1523-536X	BIRTH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1523-536X	Medical, Veterinary and Health Sciences	STM Collection		 
1542-9768	1542-0760	BIRTH DEFECTS RESEARCH	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1542-0760	Life Sciences	STM Collection		 
1470-0328	1471-0528	BJOG : AN INTERNATIONAL JOURNAL OF OBSTETRICS & GYNAECOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1471-0528	Medical, Veterinary and Health Sciences	STM Collection	Royal College of Obstetricians and Gynaecologists	 
1464-4096	1464-410X	BJU INTERNATIONAL	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1464-410X	Medical, Veterinary and Health Sciences	STM Collection	British Association of Urological Surgeons	 
1525-7878	1949-3215	BOARD & ADMINISTRATOR FOR ADMINISTRATORS ONLY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1949-3215	Business, Economics, Finance and Accounting    			 
1061-4249	1542-7862	BOARD LEADERSHIP: POLICY GOVERNANCE IN ACTION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1542-7862	Business, Economics, Finance and Accounting    			 
0300-9483	1502-3885	BOREAS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1502-3885	Earth and Environmental Science	STM Collection	Collegium Boreas (BOREAS)	 
0024-4074	1095-8339	BOTANICAL JOURNAL OF THE LINNEAN SOCIETY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1095-8339	Life Sciences	STM Collection	Linnean Society of London	 
1015-6305	1750-3639	BRAIN PATHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1750-3639	Medical, Veterinary and Health Sciences	STM Collection	International Society of Neuropathology	 
0306-5251	1365-2125	BRITISH JOURNAL OF CLINICAL PHARMACOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2125	Medical, Veterinary and Health Sciences	STM Collection	British Pharmacological Society	 
0144-6657	2044-8260	BRITISH JOURNAL OF CLINICAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8260	Psychology		British Psychological Society (BPS)	 
0007-0963	1365-2133	BRITISH JOURNAL OF DERMATOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2133	Medical, Veterinary and Health Sciences	STM Collection	British Association of Dermatologists	 
0261-510X	2044-835X	BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-835X	Psychology		British Psychological Society (BPS)	 
0007-0998	2044-8279	BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8279	Psychology		British Psychological Society (BPS)	 
0007-1013	1467-8535	BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8535	Education		British Educational Research Association (BERA)	 
0007-1048	1365-2141	BRITISH JOURNAL OF HAEMATOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2141	Medical, Veterinary and Health Sciences	STM Collection	British Society for Haematology	 
1359-107X	2044-8287	BRITISH JOURNAL OF HEALTH PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8287	Psychology		British Psychological Society (BPS)	 
0007-1080	1467-8543	BRITISH JOURNAL OF INDUSTRIAL RELATIONS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8543	Business, Economics, Finance and Accounting    		London School of Economics (LNSE)	 
1354-4187	1468-3156	BRITISH JOURNAL OF LEARNING DISABILITIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-3156	Medical, Veterinary and Health Sciences		British Institute of Learning Disabilities	 
1045-3172	1467-8551	BRITISH JOURNAL OF MANAGEMENT	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8551	Business, Economics, Finance and Accounting    		British Academy of Management	 
0007-1102	2044-8317	BRITISH JOURNAL OF MATHEMATICAL AND STATISTICAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8317	Psychology		British Psychological Society (BPS)	 
0007-1188	1476-5381	BRITISH JOURNAL OF PHARMACOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1476-5381	Medical, Veterinary and Health Sciences		British Pharmacological Society	 
1369-1481	1467-856X	BRITISH JOURNAL OF POLITICS & INTERNATIONAL RELATIONS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-856X	Humanities and Social Sciences		Political Studies Association	 
0007-1269	2044-8295	BRITISH JOURNAL OF PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8295	Psychology		British Psychological Society (BPS)	 
0265-9883	1752-0118	BRITISH JOURNAL OF PSYCHOTHERAPY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-0118	Psychology		British Association of Psychotherapists	 
0144-6665	2044-8309	BRITISH JOURNAL OF SOCIAL PSYCHOLOGY	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2044-8309	Psychology		British Psychological Society (BPS)	 
0952-3383	1467-8578	BRITISH JOURNAL OF SPECIAL EDUCATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8578	Education		National Association for Special Educational Needs	 
0007-1323	1365-2168	BRITISH JOURNAL OF SURGERY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1365-2168	Medical, Veterinary and Health Sciences	STM Collection	British Journal of Surgery Society	 
1542-8419	1542-8427	BRUCE R HOPKINS' NONPROFIT COUNSEL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1542-8427	Business, Economics, Finance and Accounting    			 
0307-3378	1467-8586	BULLETIN OF ECONOMIC RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8586	Business, Economics, Finance and Accounting    		Trustees of the Bulletin of Economic Research	 
0261-3050	1470-9856	BULLETIN OF LATIN AMERICAN RESEARCH	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1470-9856	Humanities and Social Sciences		Society for Latin American Studies	 
E-only title	1550-8366	BULLETIN OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE & TECHNOLOGY (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1550-8366	Information Science and Computing	STM Collection	American Society for Information Science and Technology	 
0076-0730	2041-5370	BULLETIN OF THE INSTITUTE OF CLASSICAL STUDIES	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2041-5370	Humanities and Social Sciences			 
0045-3609	1467-8594	BUSINESS AND SOCIETY REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8594	Business, Economics, Finance and Accounting    		Center for Business Ethics at Bentley College	 
0962-8770	1467-8608	BUSINESS ETHICS: A EUROPEAN REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8608	Business, Economics, Finance and Accounting    			 
0964-4733	1099-0836	BUSINESS STRATEGY AND THE ENVIRONMENT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0836	Humanities and Social Sciences		ERP Environment	 
0955-6419	1467-8616	BUSINESS STRATEGY REVIEW	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8616	Business, Economics, Finance and Accounting    		London Business School	 
0007-9235	1542-4863	CA: A CANCER JOURNAL FOR CLINICIANS	http://onlinelibrary.wiley.com/journal/10.3322/(ISSN)1542-4863	Medical, Veterinary and Health Sciences	STM Collection	American Cancer Society	 
1531-3999	1945-6239	CAMPUS LEGAL ADVISOR	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1945-6239	Education			 
1551-2800	1945-6247	CAMPUS SECURITY REPORT	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1945-6247	Education			 
0825-0383	1936-4490	CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1936-4490	Business, Economics, Finance and Accounting    		Administrative Sciences Association of Canada	 
0008-3976	1744-7976	CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7976	Business, Economics, Finance and Accounting    		Canadian Agricultural Economics Society/la Societe canadienne d'agroeconomie	 
0008-4085	1540-5982	CANADIAN JOURNAL OF ECONOMICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5982	Business, Economics, Finance and Accounting    		Canadian Economics Association/Association canadienne d'économique	 
0008-4840	1754-7121	CANADIAN PUBLIC ADMINISTRATION/ADMINISTRATION PUBLIQUE DU CANADA	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1754-7121	Business, Economics, Finance and Accounting    		Institute of Public Administration of Canada	 
1755-6171	1755-618X	CANADIAN REVIEW OF SOCIOLOGY/REVUE CANADIENNE DE SOCIOLOGIE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-618X	Humanities and Social Sciences		Canadian Sociological Association/La Société canadienne de sociologie	 
0008-543X	1097-0142	CANCER	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0142	Medical, Veterinary and Health Sciences	STM Collection	American Cancer Society	 
1934-662X	1934-6638	CANCER CYTOPATHOLOGY	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1934-6638	Medical, Veterinary and Health Sciences	STM Collection	American Cancer Society	 
1347-9032	1349-7006	CANCER SCIENCE	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1349-7006	Medical, Veterinary and Health Sciences	STM Collection	Japanese Cancer Association	 
1755-5914	1755-5922	CARDIOVASCULAR THERAPEUTICS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-5922	Medical, Veterinary and Health Sciences	STM Collection		 
1522-1946	1522-726X	CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-726X	Medical, Veterinary and Health Sciences	STM Collection		 
0263-6484	1099-0844	CELL BIOCHEMISTRY AND FUNCTION  (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0844	Life Sciences	STM Collection		 
0960-7722	1365-2184	CELL PROLIFERATION	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2184	Life Sciences	STM Collection	European Cell Proliferation Society	 
1462-5814	1462-5822	CELLULAR MICROBIOLOGY (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1462-5822	Life Sciences	STM Collection		 
0008-8994	1600-0498	CENTAURUS	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0498	Humanities and Social Sciences		European Society for the History of Science	 
1439-4227	1439-7633	CHEMBIOCHEM	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1439-7633	Chemistry   		Editorial Union of Chemical Societies	 
1867-3880	1867-3899	CHEMCATCHEM	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1867-3899	Chemistry   			 
1747-0277	1747-0285	CHEMICAL BIOLOGY & DRUG DESIGN (ELECTRONIC)	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1747-0285	Life Sciences	STM Collection		 
0930-7516	1521-4125	CHEMICAL ENGINEERING & TECHNOLOGY (CET)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4125	Chemistry   	STM Collection		 
0948-1907	1521-3862	CHEMICAL VAPOR DEPOSITION	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3862	Polymers and Materials Science	STM Collection		 
0009-2851	1521-3781	CHEMIE IN UNSERER ZEIT (CHIUZ)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3781	Chemistry   	STM Collection	Gesellschaft Deutscher Chemiker	 
0009-286X	1522-2640	CHEMIE-INGENIEUR-TECHNIK (CIT)	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2640	Chemistry   	STM Collection	Gesellschaft Deutscher Chemiker	 
0931-7597	1522-2667	CHEMINFORM	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2667	Chemistry   			 
0947-6539	1521-3765	CHEMISTRY - A EUROPEAN JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3765	Chemistry   	STM Collection	ChemPubSoc Europe	 
1861-4728	1861-471X	CHEMISTRY - AN ASIAN JOURNAL	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1861-471X	Chemistry   			 
