object	size
journalBytes:International Journal of Chronic Obstructive Pulmonary Disease	18595896
journalFiles:Water Research	1
journalFiles:ISRN Cardiology	75
journalFiles:American Journal of Reproductive Immunology	3
journalFiles:Brain Cell Biology	2
journalFiles:Cell Communication and Signaling : CCS	235
journalBytes:Journal of Nursing Scholarship	51199
journalFiles:The Journals of Gerontology Series A: Biological Sciences and Medical Sciences	20
journalBytes:European Journal of Preventive Cardiology	54598
journalBytes:Journal of Pediatric Neurosciences	2960125
journalBytes:Seminars in Immunopathology	2308909
journalBytes:Journal of Radiation Oncology	96380
journalFiles:Acta Psychiatrica Scandinavica	7
journalBytes:Molecular Microbiology	26237915
journalFiles:Journal of Industrial Microbiology & Biotechnology	11
journalFiles:Primary Health Care Research & Development	1
journalBytes:Nanotoxicology	160093
journalBytes:Artificial Organs	40429
journalFiles:Applied Cognitive Psychology	1
journalFiles:Issues in Comprehensive Pediatric Nursing	1
journalFiles:Cellular &#x0026; molecular immunology	5
journalBytes:Psychology, Health & Medicine	41090
journalBytes:Journal of Consulting and Clinical Psychology	320654
journalFiles:European Journal of Clinical Pharmacology	86
journalBytes:Arthritis and Rheumatism	1847307
journalFiles:Steroids	1
journalBytes:Magnetic Resonance Imaging	144277
journalFiles:Annals of Saudi Medicine	365
journalBytes:Philosophy, Ethics, and Humanities in Medicine	970450
journalFiles:Diabetes & Metabolism Journal	180
journalFiles:Journal of Family and Economic Issues	4
journalFiles:CBE Life Sciences Education	93
journalBytes:Biomedical Digital Libraries	653399
journalFiles:Comparative Immunology, Microbiology and Infectious Diseases	2
journalFiles:Journal of Developmental and Physical Disabilities	9
journalBytes:Clinical medicine. Cardiology	418845
journalFiles:Journal of Cellular Physiology	19
journalBytes:Nanoscale Research Letters	55393288
journalFiles:Strategies in Trauma and Limb Reconstruction	130
journalBytes:European Orthopaedics and Traumatology	262020
journalFiles:Biomolecular Nmr Assignments	26
journalBytes:Chemical Communications (Cambridge, England)	465920
journalBytes:Journal of Neuroimmune Pharmacology	2864017
journalBytes:Journal of Thyroid Research	4815252
journalFiles:Journal of Helminthology	1
journalFiles:The Open Respiratory Medicine Journal	91
journalBytes:Journal of Mental Health (Abingdon, England)	59401
journalBytes:Current Bioinformatics	129550
journalFiles:European Journal of Human Genetics	105
journalBytes:Chemistry Central Journal	23507938
journalBytes:Archives of Sexual Behavior	2009912
journalBytes:Journal of Chemical Neuroanatomy	46509
journalBytes:BMC Health Services Research	113615178
articleCount_1953	427
journalBytes:Critical Reviews in Food Science and Nutrition	530662
journalBytes:Molecular Informatics	305905
journalBytes:Anaesthesia	173826
journalFiles:Genesis (New York, N.y. : 2000)	12
journalBytes:Urology Annals	1899401
journalFiles:Contemporary Clinical Dentistry	321
journalFiles:Computational & Theoretical Chemistry	3
journalBytes:Chemmedchem	1561824
journalFiles:Current Nutrition Reports	2
journalFiles:Journal of the American Geriatrics Society	4
journalFiles:Journal of Natural Science, Biology, and Medicine	101
journalFiles:Sozial- Und Praventivmedizin	3
journalFiles:Psychological Injury and Law	3
journalBytes:QJM: An International Journal of Medicine	616905
journalFiles:Nature Medicine	107
journalFiles:Alimentary Pharmacology & Therapeutics	10
journalBytes:RNA Biology	2451933
journalFiles:BMC Surgery	309
journalBytes:GMS Zeitschrift für medizinische Ausbildung	1391690
mimeTypeFiles:text/plain	5674
journalBytes:ISRN Nursing	2560982
journalFiles:Frontiers in Genetics	491
journalFiles:Current Drug Targets	11
journalFiles:Current Protein & Peptide Science	16
journalBytes:Journal of Parasitology Research	4714203
journalFiles:Pathobiology of Aging & Age Related Diseases	18
journalFiles:The Journal of Animal Ecology	18
journalFiles:The Oncologist	47
journalBytes:Critical Ultrasound Journal	709361
journalFiles:Frontiers in Evolutionary Neuroscience	37
journalFiles:Chirality	1
journalBytes:Fibrogenesis & Tissue Repair	5127415
articleCount_1909	55
articleCount_1908	47
articleCount_1901	20
articleCount_1900	17
journalFiles:Journal of Applied Phycology	31
articleCount_1902	7
articleCount_1905	47
articleCount_1907	48
articleCount_1906	48
journalFiles:ISRN Gastroenterology	104
journalBytes:Case Reports in Dermatology	2042064
articleTypeFiles:expression-of-concern	1
journalBytes:Epidemiology and Psychiatric Sciences	22040
journalFiles:Diabetic Medicine 	13
journalFiles:Parkinson's Disease	213
journalBytes:Medical Engineering & Physics	37478
journalBytes:Nature Biotechnology	834230
journalFiles:Journal of Clinical Periodontology	5
journalFiles:Best Practice & Research. Clinical Endocrinology & Metabolism	2
journalFiles:BMC Pulmonary Medicine	478
journalBytes:Annals of Occupational Hygiene	1358795
journalBytes:Acta Oto-Laryngologica	370379
journalBytes:Neuropsychology Review	1367851
journalFiles:Tetrahedron	9
journalBytes:American Journal of Obstetrics and Gynecology	57368
journalFiles:Current Cardiology Reviews	171
journalFiles:Journal of Echocardiography	2
journalFiles:GMS Zeitschrift für Medizinische Ausbildung	122
journalFiles:Journal of the Royal Society Interface	145
journalFiles:Visual Culture in Britain	1
journalFiles:International Journal of Family Medicine	66
journalBytes:The Open AIDS Journal	3910352
journalBytes:Case Reports in Hematology	1027339
journalBytes:Tumour Biology	1191719
journalBytes:Fetal and Pediatric Pathology	24930
journalFiles:Cytoskeleton (Hoboken, N.j.)	11
journalBytes:Social Science & Medicine (1982)	2549967
journalFiles:Trends in Pharmacological Sciences	10
journalFiles:Archives of Environmental & Occupational Health	1
journalFiles:The European Journal of Cognitive Psychology	1
journalFiles:Fibrogenesis and Tissue Repair	6
journalFiles:EMBO Reports	66
journalFiles:Pflugers Archiv	49
journalBytes:Brain Cell Biology	97782
pmidCount_1906	48
pmidCount_1907	48
pmidCount_1905	47
pmidCount_1902	7
pmidCount_1900	17
pmidCount_1901	20
pmidCount_1908	47
journalBytes:Genome Biology and Evolution	51922312
journalBytes:International Journal of Clinical Pharmacy	153395
journalBytes:Journal of Plant Research	565350
journalFiles:Biochemical Society Transactions	13
journalFiles:Hemoglobin	1
journalBytes:International Journal of Audiology	257310
journalBytes:Trends in Biotechnology	121385
journalFiles:ISRN Neurology	87
journalFiles:Systematic Parasitology	4
journalFiles:Scandinavian Cardiovascular Journal	1
journalFiles:International Journal of Molecular Medicine	50
journalFiles:Neurobiology of Aging	13
journalFiles:Quality & Safety in Health Care	33
journalBytes:Endocrine Pathology	209060
journalFiles:Bulletin of Mathematical Biology	16
journalBytes:Genes & Genomics	203178
journalFiles:Social Psychiatry and Psychiatric Epidemiology	61
journalBytes:Culture, Health & Sexuality	262946
journalFiles:Iranian Red Crescent Medical Journal	325
journalBytes:Frontiers in Aging Neuroscience	7319086
journalFiles:Journal of human genetics	29
journalFiles:Scoliosis	487
journalFiles:BMC Blood Disorders	70
journalBytes:Immune Network	4400043
journalBytes:BMC Medical Physics	630184
journalBytes:Trends in Ecology & Evolution	52948
journalBytes:Scoliosis	7669437
journalFiles:ISRN Dentistry	97
journalFiles:Genomic Medicine	4
journalBytes:Journal of Dental Research, Dental Clinics, Dental Prospects	3046673
journalFiles:The European Journal of Orthodontics	4
journalBytes:PLoS Medicine	137356639
journalBytes:Innate Immunity	41531
journalFiles:Arthritis and Rheumatism	50
journalBytes:Current Women's Health Reviews	70822
journalBytes:Chimerism	132622
journalFiles:GMS Zeitschrift für medizinische Ausbildung	73
journalFiles:Neuroimage	255
journalBytes:Parasites & Vectors	35600300
journalBytes:International Journal of Health Geographics	26011319
journalFiles:Ecological Economics	2
journalFiles:Palaeogeography, Palaeoclimatology, Palaeoecology	8
journalBytes:Proteome Science	74111635
journalBytes:Translational Oncogenomics	1281537
journalFiles:Physical & Occupational Therapy in Geriatrics	1
journalBytes:BMC Nuclear Medicine	738574
journalBytes:Oncology Letters	3112271
journalBytes:Complementary Therapies in Medicine	62796
journalBytes:Journal of Applied Genetics	1702323
journalFiles:Environmental Health Insights	65
journalFiles:Administration and Policy in Mental Health	18
journalBytes:International Journal of Molecular Medicine	1674788
journalFiles:Physical Chemistry Chemical Physics	1
journalBytes:Artificial Intelligence	13138
journalBytes:Sports Medicine, Arthroscopy, Rehabilitation, Therapy & Technology: SMARTT	3305274
journalFiles:Journal of Solution Chemistry	8
journalBytes:Diagnostic Pathology	21129499
journalFiles:Emergency Medicine International	75
journalBytes:Clinical epidemiology	561903
journalBytes:Journal of Pregnancy	3913733
journalBytes:Journal of Pharmacology & Pharmacotherapeutics	3185057
journalFiles:Biosensors & Bioelectronics	2
journalBytes:Transfusion Medicine (Oxford, England)	345844
journalBytes:Cytometry. Part B, Clinical Cytometry	37363
journalFiles:Microvascular Research	2
journalBytes:Analytical Chemistry Insights	1720694
journalFiles:Journal of Pediatric Psychology	3
journalFiles:Cytogenetic and Genome Research	4
journalBytes:Evidence-Based Mental Health	8235
journalBytes:The American Sociologist	85167
journalBytes:Bjog	1515690
journalFiles:International Journal of Pediatrics	249
journalBytes:Genes to Cells	1677235
journalBytes:Journal of Arthropod-Borne Diseases	466044
journalBytes:PMC Biophysics	1364302
journalFiles:HSR Proceedings in Intensive Care & Cardiovascular Anesthesia	154
journalFiles:Tropical Animal Health and Production	26
journalFiles:Hearing Research	7
journalFiles:Human Heredity	2
journalFiles:Behavioral Ecology and Sociobiology	90
journalBytes:Advances in Virology	4091189
journalBytes:Influenza Research and Treatment	1104410
journalFiles:Familial Cancer	42
journalBytes:The British Journal of Radiology	36653
journalBytes:Malaria Research and Treatment	1240008
journalBytes:Paediatrics and Child Health	27942
journalBytes:Cell Stress & Chaperones	1081613
journalFiles:Trends in Microbiology	3
journalBytes:The Korean Journal of Internal Medicine	8664446
journalBytes:Biomaterials	7186823
journalFiles:Brain	485
journalBytes:Anatomia, Histologia, Embryologia	28731
journalBytes:International Journal of Fatigue	26343
journalBytes:Journal of Molecular and Cellular Cardiology	1417940
journalBytes:Gene	574616
journalFiles:Biology of the Cell	25
journalFiles:Synapse (New York, N.y.)	1
journalFiles:Journal of Experimental Botany	2832
journalFiles:Journal of Trauma Management & Outcomes	53
journalFiles:Biomedical Optics Express	758
journalBytes:Case Reports in Oncology	5342911
journalFiles:International Breastfeeding Journal	169
journalBytes:The Journal of Forensic Psychiatry & Psychology	118944
journalFiles:Transgenic Research	62
journalBytes:Summit on Translational Bioinformatics	995790
journalBytes:Race and Social Problems	45161
journalFiles:Catheterization and Cardiovascular Interventions	2
journalFiles:Frontiers in Neuroscience	601
journalFiles:Photosynthesis Research	55
journalFiles:Journal of Indian Association of Pediatric Surgeons	286
journalFiles:Current Directions in Psychological Science	1
journalFiles:Bone	50
journalBytes:Hematology (Amsterdam, Netherlands)	68360
journalFiles:International Journal of Primatology	42
journalBytes:Gynecological Surgery	936176
journalBytes:Journal of Nutrition and Metabolism	6971277
journalBytes:Case Reports in Pulmonology	686673
journalBytes:MicrobiologyOpen	3385350
journalFiles:Case Reports in Dermatology	176
journalFiles:European Journal of Dentistry	355
journalFiles:Journal of Venom Research	28
journalBytes:Cancer Management and Research	4195801
journalBytes:Radiation Physics and Chemistry	22084
journalBytes:Journal of Ethnobiology and Ethnomedicine	18217580
journalBytes:American Journal of Hematology	164102
journalFiles:Journal of Reproductive Immunology	2
journalFiles:Midwifery	1
journalBytes:Journal of Clinical Virology 	17971
journalBytes:Molecular Membrane Biology	180023
journalBytes:Chromatographia	688524
journalFiles:Tuberculosis Research and Treatment	48
journalBytes:Current Opinion in Genetics & Development	132535
journalBytes:Nmr in Biomedicine	31652
journalBytes:Transplantation Proceedings	12147
journalFiles:International Journal of Mental Health Systems	192
journalBytes:Apoptosis	2075109
journalBytes:International Journal of Peptide Research and Therapeutics	490253
journalFiles:Demography	4
journalBytes:International Journal of Toxicology	25603
journalBytes:International Journal of Gynaecology and Obstetrics	32372
journalFiles:Case Reports in Dentistry	147
journalBytes:Autoimmunity Reviews	30795
journalBytes:Attention Deficit and Hyperactivity Disorders	536073
journalBytes:Channels	811626
journalFiles:Review of Religious Research	1
journalFiles:Dyslexia (Chichester, England)	1
journalBytes:Surgical and Radiologic Anatomy	227060
journalBytes:Aphasiology	339442
journalFiles:The FASEB Journal	92
journalFiles:Veterinary Medicine International	219
journalFiles:Catalysis Communications	1
journalBytes:Korean Circulation Journal	10856636
journalBytes:BMC Oral Health	10399738
journalBytes:Cerebrum: the Dana Forum on Brain Science	997359
journalFiles:Indian Journal of Endocrinology and Metabolism	474
journalFiles:International Journal of Nephrology	234
journalBytes:Journal of Echocardiography	35970
journalBytes:Rare Tumors	3601342
journalBytes:Physica D. Nonlinear Phenomena	117102
