ISSN	impact
1574-020X	0.308
0023-8309	1.033
1435-2443	1.807
0743-7463	4.186
1124-4593	0.072
0935-8943	0.967
0023-852X	1.752
0898-1507	0.159
1043-8092	0.252
0268-8921	2.004
0263-0346	1.623
1863-8880	7.388
1054-660X	3.605
1612-2011	9.97
0196-8092	2.748
0327-0793	0.187
0718-560X	0.5
0326-2383	0.288
1679-7817	0.4
1471-6577	0.494
1527-5949	0.371
1543-4494	2
1072-0502	4.219
0250-5371	0.088
0305-7518	1.037
0024-1164	2.011
0266-8254	1.622
1570-1808	0.872
0377-9017	1.819
1570-1786	0.822
0887-6924	9.561
1042-8194	2.58
0145-2126	2.923
1550-2724	0.273
1993-2820	0.179
0024-2829	1.195
0024-3205	2.527
1097-8135	0.073
1380-7870	0.915
0236-2945	0.082
1477-1535	1.551
0213-8409	0.421
0024-3590	3.416
1541-5856	1.535
0075-9511	1.527
1439-8621	0.983
0024-3795	0.974
0308-1087	0.727
0024-4201	2.129
1476-511X	2.17
0267-8292	1.858
1648-8504	0.394
0363-1672	0.486
0024-4902	0.378
0024-4937	3.246
1941-8264	1.738
1478-3223	3.824
1527-6465	3.386
1871-1413	1.506
1433-8351	17.462
1614-4961	12.5
1461-1570	0.5
1367-0751	0.913
1860-5974	0.393
1401-5439	0.836
1063-777X	0.73
0954-0075	0.53
1522-7235	1.731
0341-2040	1.899
0169-5002	3.434
0961-2033	2.337
1757-5664	0.239
0023-6438	2.545
0024-7766	1.023
0767-0974	0.516
1523-4614	1.475
1942-0862	3.174
1857-5552	1.079
0885-6125	1.587
1091-0344	0.804
0932-8092	1.009
1616-5187	3.886
1022-1352	2.361
1438-7492	1.986
1022-1336	4.596
1862-832X	1.848
1598-5032	1.153
1022-1344	1.709
0024-9297	5.167
1405-0471	0.175
0717-3644	0.227
1905-7873	0.258
0024-9831	0.5
0749-1581	1.437
0730-725X	1.991
1064-9689	1.634
0968-5243	1.883
0740-3194	2.964
1347-3182	0.966
0953-1424	1.519
0024-998X	0.413
0025-004X	0.201
1024-1221	0.636
0334-7575	0.207
0076-2997	1.429
1475-2875	3.191
0127-9084	0.167
1616-5047	1.609
0938-8990	2.887
1343-4152	0.581
0305-1838	3.034
0025-1461	0.808
0025-1909	1.733
1356-689X	1.885
0361-0853	0.018
0025-2611	0.43
0970-3950	0.308
0025-3162	2.276
1745-1000	1.055
1436-2228	3.43
0304-4203	3.074
1942-5120	1.065
1660-3397	3.854
0173-9565	1.836
0171-8630	2.711
0141-1136	2.276
1023-6244	0.679
1323-1650	1.595
1874-7787	1.551
0149-0419	1.329
0025-3227	2.263
0025-3235	0.45
1064-119X	0.364
0824-0469	1.611
0377-8398	2
0264-8172	2.104
0025-326X	2.503
0738-1360	1.083
0951-8339	0.901
0025-3316	0.419
0025-3324	0.528
0277-7037	10.461
0921-5093	2.003
0928-4931	2.686
0927-796X	14.951
1369-8001	0.753
0340-6253	2.161
1044-5803	1.572
0254-0584	2.234
0465-2746	0.437
0947-5117	1.173
0261-3069	2.2
0025-5327	0.275
0960-3409	0.481
0167-577X	2.307
1042-6914	1.058
0094-1492	0.08
0025-5289	0.387
0025-5408	2.105
1432-8917	0.409
1516-1439	0.424
0921-5107	1.518
0267-0836	0.772
1068-820X	0.229
1392-1320	0.492
0137-1339	0.366
1359-5997	1.278
1066-7857	0.591
1580-2949	0.804
0025-5300	0.23
1369-7021	5.565
1345-9678	0.699
0967-8638	0.034
1517-7076	0.064
1996-1944	1.677
0933-5137	0.543
1740-8695	1.609
0025-5831	1.297
0025-5564	1.54
1547-1063	1.131
1331-0623	0.258
1387-3954	0.406
0025-5718	1.313
0895-7177	1.346
0378-4754	0.738
0932-4194	0.5
0960-1627	1.246
1874-8961	1.354
1331-4343	0.558
0343-6993	0.2
0942-5616	0.496
1081-2865	1.012
1477-8599	1.818
0170-4214	0.743
1432-2994	0.481
0218-2025	1.635
1392-6292	0.463
0973-5348	0.633
0025-584X	0.682
0001-4346	0.295
0364-765X	1.056
1385-0172	0.806
0889-8480	0.24
1024-123X	0.777
0305-0041	0.693
0025-5610	1.707
1582-3067	0.293
1073-2780	0.743
0025-5521	0.467
0139-9918	0.269
0165-4896	0.429
0960-1295	0.69
0025-5874	0.749
0945-053X	3.299
0378-5122	2.767
0252-9416	0.17
0025-6153	0.395
0025-6196	5.698
2150-7511	5.311
0361-929X	1.123
0020-2940	0.178
1335-8871	0.418
0957-0233	1.494
0543-1972	0.193
0263-2241	0.836
0309-1740	2.275
1296-2139	0.221
0025-6455	1.558
1537-6494	0.926
0047-6374	3.439
1539-7734	0.259
0191-5665	0.409
0925-4773	2.833
0025-6501	0.209
0094-114X	1.366
0167-6636	1.769
0093-6413	1.273
0025-6544	0.148
0888-3270	1.824
1385-2000	1.109
0957-4158	1.255
0140-0118	1.878
0025-7079	3.411
1077-5587	2.959
1573-4064	1.496
1054-2523	1.271
0759-2280	0.051
0025-7125	2.467
0025-7753	1.385
0272-989X	2.329
0958-3947	1
0308-0110	3.176
1350-4533	1.623
1863-5490	0.059
1840-0132	0.056
0025-7273	0.535
0306-9877	1.15
1361-8415	4.424
0210-5691	1.072
0025-729X	2.813
0723-5003	0.343
0025-7818	0.321
0967-0742	0.773
0025-732X	0.324
1010-660X	0.423
0399-077X	0.723
0300-8584	3.833
1860-1480	1.388
1369-3786	2.457
0928-1258	0.193
1357-0560	2.14
1698-4447	1.13
1134-248X	0.219
0094-2405	2.83
0465-5893	0.303
1011-7571	0.887
0885-1158	0.545
0198-6325	10.7
0025-8024	0.446
0195-9131	4.431
0025-7826	0.257
0142-159X	1.217
0269-283X	1.91
2040-2503	2.8
0962-9351	3.263
1555-7960	0.926
0025-7680	0.465
0025-7974	4.35
1660-5446	0.463
1108-393X	1.375
0960-8931	2.187
0065-9266	2.259
0074-0276	2.147
0959-9436	0.901
1072-3714	3.758
1598-9623	1.183
0026-0673	0.185
0885-7490	2.198
1096-7176	5.614
1540-4196	1.932
0026-0495	2.664
1573-3882	4.505
1582-2214	0.084
0026-0843	0.053
1073-5623	1.545
1073-5615	0.903
1024-1809	0.143
1756-5901	3.902
0026-0894	0.11
0543-5846	0.259
1086-9379	2.719
1350-4827	1.411
0177-7971	0.903
0941-2948	1.336
0076-6879	2.042
0379-0355	0.926
0026-1270	1.532
0580-9517	0.316
1387-5841	0.753
1046-2023	4.011
2041-210X	5.093
0026-1335	0.674
0860-8229	0.764
0026-1394	1.75
0026-2285	0.948
1750-0443	0.944
1751-7907	2.534
1475-2859	3.552
1076-6294	2.153
0095-3628	2.912
0882-4010	1.938
1342-6311	1.906
1286-4579	3.101
0385-5600	1.304
1092-2172	13.018
0944-5013	2.308
1350-0872	3.061
0026-2617	0.718
0026-265X	3.048
0026-3672	3.033
1073-9688	2.574
0167-9317	1.557
1356-5362	0.6
0026-2692	0.919
0026-2714	1.167
1613-4982	3.371
0938-0108	0.591
0968-4328	1.527
0026-2803	0.569
1387-1811	3.285
0141-9331	0.575
1431-9276	3.007
1059-910X	1.792
0738-1085	1.605
0946-7076	0.931
0026-2862	2.828
0895-2477	0.618
0192-6225	0.145
0745-2993	0.087
0266-6138	1.777
0374-9096	0.402
0026-4075	0.924
0275-5823	0.343
1424-9286	0.22
0887-378X	5.62
0026-3788	0.35
0924-6495	0.31
1025-9112	0.615
0026-4598	1.684
0892-6875	1.352
0747-9182	0.22
0930-0708	1.278
0882-7508	0.667
0026-461X	1.321
0375-9393	2.656
1120-4826	0.257
0026-4733	0.77
0391-1977	0.981
0026-4806	0.904
0026-4911	0.087
1389-5575	2.528
1570-193X	2.406
0946-7211	0.704
1364-5706	0.943
0276-7783	4.447
1787-2405	0.351
1381-2386	1.234
1940-1736	1.488
1567-7249	3.615
0007-5922	0.106
1574-017X	2.432
1383-469X	0.838
0217-7323	1.083
0217-9849	0.474
1439-7595	1.577
0332-7353	0.615
0965-0393	2.298
0893-3952	4.792
0021-4795	0.136
0098-2997	9.97
0166-6851	2.551
1059-1524	4.942
0737-4038	5.55
0301-4851	2.929
0026-8933	0.658
1742-206X	3.534
1073-6085	2.171
1380-3743	2.852
1476-4598	3.993
1541-7786	4.288
1535-7163	5.226
0899-1987	3.164
1097-2765	14.178
0300-8177	2.057
0270-7306	5.527
0303-7207	4.192
1044-7431	3.663
0890-8508	2.078
1535-9476	7.398
1738-642X	0.88
1016-8478	2.178
1542-1406	0.58
1177-1062	1.71
1381-1991	3.153
0962-1083	5.522
1755-098X	3.062
0888-8809	4.544
1617-4615	2.635
1096-7192	3.193
0891-4168	0.23
1360-9947	3.852
1535-3508	3.18
1536-1632	3.844
0161-5890	2.897
1868-1743	2.39
1534-0384	4.594
1076-1551	3.757
1791-2997	0.418
0968-7688	2.863
0950-382X	5.01
0893-7648	5.735
1750-1326	4.278
1613-4125	4.301
1574-7891	5.082
2041-1006	2.641
1744-8069	3.526
1543-8384	4.782
0026-895X	4.883
1055-7903	3.609
0026-8976	1.819
1674-2052	5.546
0894-0282	4.431
1464-6722	3.899
1359-4184	13.668
1040-452X	2.532
0892-7022	1.328
1744-4292	8.626
1525-0016	6.873
1090-0535	2.205
1420-3049	2.386
1323-5818	0.906
0035-8711	4.9
0027-0644	2.688
0026-9247	1.532
0026-9255	0.616
0026-9298	0.274
1609-3321	0.47
0027-1349	0.199
1087-1640	1.527
1980-6574	0.124
0885-3185	4.505
0883-7694	4.95
0276-4741	0.676
0027-2507	2
1933-0219	6.963
1352-4585	4.255
1384-5640	1.321
0923-6082	0.953
1828-695X	0.05
1380-7501	0.617
0942-4962	0.729
1540-3459	2.009
0027-3171	1.412
0148-639X	2.367
0267-8357	3.183
0027-5107	2.85
1383-5718	3.035
1383-5742	6.462
1617-416X	1.554
0953-7562	2.809
0027-5514	2.031
0301-486X	1.654
0940-6360	2.63
1340-3540	1.212
0933-7407	2.247
0093-4666	0.709
1994-4136	2.644
1522-2055	0.664
0275-5947	0.943
0028-1298	2.647
1439-9598	0.191
0027-7630	0.412
1793-2920	1.193
1530-6984	13.198
1998-0124	6.97
1748-0132	15.355
1549-9634	6.692
1743-5889	5.055
1556-7265	1.032
2040-3364	5.914
1931-7573	2.726
1941-4900	0.528
0957-4484	3.979
1743-5390	5.758
0885-8608	0.789
1087-0156	23.268
1465-7392	19.488
1755-4330	20.524
1552-4450	14.69
1758-678X	 
1743-4297	7.043
1745-8366	7.545
1743-4378	5.333
1745-8323	6.083
1745-834X	7.636
1743-4254	8
1745-8382	5.846
1743-4270	4.071
2041-1723	7.396
1679-0073	1.049
1061-4036	35.532
1752-0894	11.754
1561-8633	1.983
0921-030X	1.529
1527-6988	1
0028-0712	0.176
1529-2908	26.008
1351-3249	0.432
1476-1122	32.841
1078-8956	22.462
1548-7091	19.276
1748-3387	27.27
1097-6256	15.531
1749-4885	29.278
1745-2473	18.967
1934-578X	1.242
0265-0568	9.79
1478-6419	1.009
1754-2189	9.924
0165-0203	0.667
0890-8575	0.556
1474-175X	37.545
1759-5002	8.833
1759-4774	11.963
1474-1776	29.008
1759-5029	9.971
1759-5045	8.102
1471-0056	38.075
1474-1733	33.287
1740-1526	21.182
1471-0072	39.123
1759-5061	7.092
1759-4758	12.461
1471-003X	30.445
1759-4790	8.388
1759-4812	4.415
1545-9993	12.712
0250-541X	0.211
0970-258X	0.595
0028-0836	36.28
0028-1042	2.278
0028-1344	0.574
0306-0209	0.005
0028-1425	0.139
0894-069X	1.038
0963-8695	1.477
1569-4445	0.945
1880-5884	0.095
0211-6995	1
1388-5545	0.911
0099-5444	0.652
1661-7800	2.656
1522-8002	5.946
0028-2685	1.44
1519-566X	0.603
1679-6225	1.064
0931-0509	3.396
1769-7255	0.465
1320-5358	1.311
1660-2110	2.038
1660-2129	1.857
1660-2137	2.548
0028-2804	0.681
0722-1541	0.208
1568-5888	1.438
0016-7746	0.963
0300-2977	2.072
1556-1801	0.658
1566-113X	1.019
0954-898X	1.533
0028-3045	0.983
0077-7749	0.762
0077-7757	0.7
0899-7667	1.884
0941-0643	0.699
1749-8104	3.703
1210-0552	0.646
0893-6080	2.182
0792-8483	2
1370-4621	0.75
1673-5374	0.216
1522-8517	5.723
0165-8107	0.256
0197-4580	6.189
0969-9961	5.403
1074-7427	3.419
1355-4794	1.114
0197-0186	2.857
1819-7124	0.291
0364-3190	2.24
0028-3770	0.343
1130-1473	0.54
0925-2312	1.58
1541-6933	2.467
1660-2854	3.056
0172-780X	1.296
0028-3835	2.376
0251-5350	2.305
1874-5490	0.917
0947-0875	0.043
1350-1925	3.414
1364-6745	3.354
1052-5149	1.506
1053-8119	5.895
1021-7401	2.383
1539-2791	2.973
1823-6138	0.186
0733-8619	2.336
0353-8842	0.174
0028-3886	0.956
0470-8105	0.609
0028-3843	0.433
0161-6412	1.522
1590-1874	1.315
0213-4853	0.79
1074-7931	1.261
0028-3878	8.312
1094-7159	1.186
1535-1084	5
0960-8966	2.797
0896-6273	14.736
1740-925X	1.339
0305-1846	3.802
0919-6544	2.022
0174-304X	0.937
0143-4179	1.553
0028-3908	4.814
0987-7053	1.98
0090-2977	0.468
1176-6328	1.809
0302-282X	2.675
0960-2011	1.717
1040-7308	6.618
0028-3932	3.636
0894-4105	3.816
0893-133X	7.991
1303-5150	0.559
0028-3940	2.824
1545-9683	4.495
1053-8135	1.635
0959-4965	1.656
0149-7634	8.65
1673-7067	1.311
0304-3940	2.105
0168-0102	2.25
0306-4522	3.38
1319-6138	0.121
1073-8584	4.568
1424-862X	2.111
1042-3680	1.758
1092-0684	2.867
1050-6438	0.103
0344-5607	2.036
0148-396X	2.785
1933-7213	6.008
1029-8428	3.514
0892-0362	2.983
0161-813X	3.096
0733-2467	2.958
1384-1076	1.411
1387-6473	1.321
1871-6784	2.756
1007-8827	0.914
0028-4793	53.298
0169-4286	1.184
0288-3635	0.941
1463-6778	0.902
1144-0546	2.605
1367-2630	4.177
1594-5685	0.099
1121-7138	1
0028-646X	6.645
1361-4568	0.577
0262-4079	0.313
0028-8233	0.853
0028-825X	0.745
0114-0671	0.544
0110-6465	1.778
0028-8306	0.741
0028-8330	0.991
0301-4223	0.919
0048-0169	0.887
0078-0421	1.143
1590-5896	0.07
1462-2203	2.579
1119-3077	0.192
0387-1533	0.438
0021-5392	0.11
1089-8603	3.548
1573-5214	0.96
0952-3480	3.214
1305-2381	0.036
1021-9722	0.538
0736-2501	0.223
1463-1741	1.254
1058-9759	0.827
1392-5113	0.686
1468-1218	2.043
0362-546X	1.536
0924-090X	1.247
1536-0059	0.164
1023-5809	1.597
0951-7715	1.386
0107-055X	0.551
0803-9488	0.983
0283-2631	0.655
1300-0667	0.165
0742-6348	0.435
1584-9074	0.747
0029-344X	0.347
0029-196X	1.314
0255-965X	0.652
0177-2309	0.276
0035-9149	0.163
1434-6222	0.542
0029-4527	0.386
0029-5035	0.615
1055-3177	0.195
1884-4049	5.533
0090-3752	3.821
0029-5493	0.765
0029-5507	0.058
1738-5733	0.487
0029-5515	4.09
0168-9002	1.207
0168-583X	1.211
0969-8051	3.023
0143-3636	1.404
0375-9474	1.54
0550-3213	4.661
0029-5639	0.792
1001-8042	0.199
0029-5450	0.601
1451-3994	1.159
2159-3337	 
0305-1048	8.026
1525-7770	0.899
0029-5566	1.28
0029-5922	0.389
1017-1398	1.042
0163-0563	0.711
1040-7782	2.492
1040-7790	2.054
1070-5325	1.168
0029-599X	1.321
1004-8979	0.692
0749-159X	1.404
0394-7394	0.038
2037-4895	0.243
0029-6465	0.523
1362-1017	1.082
0746-1739	0.844
0363-3624	0.821
0260-6917	1.241
0969-7330	0.815
1441-0745	0.684
1320-7881	0.643
0029-6554	1.522
1466-7681	0.837
0029-6562	1.402
0163-5581	2.783
0985-0562	0.333
0884-5336	1.594
1385-1314	1.792
1446-6368	0.875
0212-1611	1.12
1475-2891	2.477
1743-7075	2.885
0939-4753	3.731
1028-415X	1.563
0271-5317	1.974
1976-1457	1.083
0954-4224	4.842
0029-6643	4.472
2072-6643	0.676
0899-9007	3.025
1825-3865	0.152
1467-7881	7.038
0960-8923	3.286
1930-7381	4.284
1662-4025	1.856
0029-7704	0.481
0889-8545	1.703
0029-7844	4.73
0029-7828	2.514
1351-0711	3.02
0962-7480	1.136
0966-7903	0.526
0964-5691	1.333
1616-7341	1.774
0029-8018	1.178
1463-5003	2.462
1812-0784	2.293
0078-3218	2.727
1042-8275	2.986
1730-413X	0.291
0078-3234	1.242
0001-4370	0.393
1230-6169	1.633
0927-3948	1.25
1542-0124	3.931
0375-0183	0.355
1618-1247	1.222
0029-8549	3.412
0391-2612	1.125
0030-1299	3.061
0030-1388	0.147
1294-4475	1.389
0342-5622	0.246
0208-189X	0.838
1545-4576	2.797
0305-0483	3.338
1536-2310	2.441
0950-9232	6.373
1792-1074	0.108
0190-535X	2.509
1021-335X	1.835
0965-0407	1.299
1292-3818	0.174
1083-7159	3.91
0030-2414	2.267
0890-9091	1.026
1949-2553	4.784
1178-6930	1.261
0030-2465	0.356
0947-8965	0.173
0378-584X	0.868
1468-4527	0.939
1230-1612	1.167
0361-7734	1.238
1846-3886	0.435
0934-6694	0.459
0030-364X	1.665
0167-6377	0.537
1060-1872	0.164
0928-6586	1.453
0275-5408	1.583
0740-9303	0.691
1381-6810	0.926
0030-3747	1.561
0941-293X	0.617
0030-3755	1.424
0161-6420	5.454
0078-5466	0.398
0030-4018	1.486
0091-3286	0.959
1094-4087	3.587
1068-5200	1.554
0143-8166	1.838
0030-3992	1.515
0146-9592	3.399
0925-3467	2.023
2159-3930	 
0306-8919	0.822
1340-6000	0.661
0030-400X	0.61
1573-4277	1
0030-4026	0.51
0143-2087	0.648
1389-4420	0.476
1862-4472	0.952
1055-6788	0.651
0233-1934	0.5
1230-3402	0.966
1842-6573	0.304
1529-1839	0.741
1040-5488	2.108
0171-6468	1.233
1354-523X	2.495
1602-1622	0.552
1042-3699	0.756
0902-0055	2.807
1368-8375	2.857
0911-6028	0.267
1079-2104	1.457
0167-8094	0.412
0169-1368	2.159
1477-0520	3.696
1439-6092	1.648
1566-1199	4.047
0146-6380	2.785
1523-7060	5.862
0030-4948	1.015
1083-6160	2.391
1547-6278	2.17
0276-7333	3.963
0030-5316	0.263
0169-6149	2.66
0301-1569	0.914
0030-5685	0.667
1075-4377	0.336
1750-1172	5.074
1601-6335	1.652
0744-6020	0.471
1877-0568	0.943
0085-4530	0.51
0147-7447	2.664
0030-6053	1.826
0030-6126	0.41
0369-7827	0.292
1063-4584	3.904
0937-941X	4.58
0889-5899	1.076
0030-6525	0.427
1531-7129	1.904
0030-6665	1.649
0194-5998	1.718
0030-7270	0.556
0305-9049	1
0209-4541	0.123
1942-0900	2.841
0030-770X	1.404
0191-9512	1.151
0002-9939	0.611
0006-324X	0.292
1540-7489	3.633
0013-0915	0.415
0013-8797	0.402
1736-6046	0.488
0016-7878	0.95
0965-089X	0.125
1478-4629	0.587
1353-2618	0.443
1741-7597	0.559
0965-0903	0.209
0965-0911	0.573
0965-092X	0.326
1741-7589	0.602
0957-6509	0.7
0954-4054	0.725
0954-4062	0.473
0954-4070	0.636
0954-4089	0.393
0954-4097	0.436
0954-4100	0.488
0954-4119	1.208
0959-6518	0.477
1350-6501	0.733
1464-4193	0.566
1464-4207	0.658
1475-0902	0.407
1748-006X	0.393
0018-9219	6.81
0253-4142	0.165
0386-2194	0.309
0386-2208	2.77
0024-6115	1.324
0369-8203	0.044
0369-8211	0.019
0027-8424	9.681
0029-6651	2.77
0738-0658	0.56
1454-9069	0.276
1364-5021	1.971
0962-8452	5.415
0308-2105	0.679
0081-5438	0.171
0044-0604	0.933
0030-8730	0.626
1348-9151	0.527
0030-8870	0.862
0147-8389	1.351
1026-2881	0.286
0894-3214	1.013
1611-2490	0.986
1205-7088	0.781
1330-1403	0.072
0269-5022	2.307
1526-0542	2.197
0304-3959	5.777
1524-9042	1.145
1526-2375	2.346
1533-3159	10.722
1530-7085	2.207
1203-6765	1.967
0556-3321	0.836
1682-024X	0.161
1011-601X	1.103
1012-9367	0.286
0030-9923	0.338
0253-8318	1.255
0031-0182	2.392
0375-0442	1.44
0375-0299	1.095
1935-3952	1.409
0031-0220	1.5
0031-0239	1.57
0883-1351	1.804
0094-8373	2.926
0883-8305	3.357
0031-0301	0.454
1342-8144	0.518
0269-2163	2.383
0191-6122	0.943
0031-0603	0.304
0885-3177	2.386
1424-3903	1.987
0031-0808	1.113
0031-1243	0
0167-8191	1.311
1252-607X	1
0141-9838	2.601
1756-3305	2.937
1383-5769	2.132
0932-0113	2.149
0031-1820	2.961
1353-8020	3.795
1743-8977	7.253
0934-0866	0.489
0272-6351	0.545
1674-2001	1.423
1015-2008	1.177
0369-8114	1.528
1320-5463	1.624
1219-4956	1.366
0344-0338	1.213
0172-8113	0.669
0031-3025	2.378
1424-8832	2.235
1178-1653	0.571
0738-3991	2.305
1177-889X	1.143
1433-7541	0.739
0031-3203	2.292
0167-8655	1.034
2151-321X	0.545
0905-6157	2.459
1155-5645	2.1
0090-4481	0.484
1545-5009	1.891
0172-0643	1.298
0031-3955	2.245
1529-7535	3.129
0164-1263	1.022
0736-8046	1.072
1093-5266	0.986
1399-543X	2.16
1174-5878	1.786
0749-5161	0.782
0899-8493	1.711
0888-0018	0.891
0891-3668	3.577
1328-8067	0.626
1875-9572	0.752
0931-041X	2.518
0887-8994	1.522
1016-2291	0.703
8755-6863	2.533
0301-0449	1.674
0031-3998	2.7
0191-9601	0.545
1546-0096	1.44
0179-0358	1.253
1397-3142	1.475
0031-4005	5.437
0031-4056	1.816
1002-0160	1.161
1936-6442	0.229
1778-3712	0.074
0196-9781	2.434
0301-0066	1.313
0166-5316	0.791
0267-6591	0.918
0031-5362	0.192
0031-5303	0.264
0369-8963	0.703
0324-5853	0.269
0553-6626	0.455
0906-6713	3.961
0896-8608	2.097
1045-6740	2.516
1741-0541	1.528
1617-4909	0.938
0031-5850	4.136
0031-5982	1.342
1433-8319	3.208
0031-5990	1.298
0100-204X	0.756
0100-736X	0.51
1526-498X	2.251
0048-3575	1.713
0965-5441	0.374
1354-0793	1.161
1672-5107	0.474
1091-6466	0.335
0869-5911	1.054
1529-9074	0.298
0177-7726	0.235
1012-5302	0.182
0031-6768	4.463
1388-0209	0.878
0091-150X	0.373
1083-7450	1.363
0031-711X	0.186
0724-8741	4.093
1539-1604	2.067
0928-1231	1.215
1170-7690	2.663
1053-8569	2.528
1744-6872	3.485
1462-2416	3.974
1470-269X	4.536
0973-1296	1.159
0091-3057	2.532
1734-1140	2.445
1043-6618	4.436
0031-6997	20.225
0163-7258	8.562
0031-7012	1.788
0176-3679	2.071
0277-0008	2.9
0031-7144	1.006
0141-1594	1.006
0950-0839	1.241
0031-7454	0.321
0115-463X	0.075
0031-7705	0.129
1478-6435	1.51
0031-8248	0.552
1364-503X	2.773
0962-8436	6.401
****-****	0.047
0939-978X	0.879
0268-3555	2.072
0031-8388	1.6
1042-6507	0.716
1474-905X	2.584
0031-8655	2.413
0905-4383	1.305
1572-1000	2.522
0099-1112	1.048
1432-8364	0.377
0031-868X	1.098
1549-5418	1.255
1569-4410	1.681
1387-974X	0.485
0731-1230	0.067
0166-8595	3.243
0300-3604	1
1322-0829	1.543
0031-8884	2
1063-7788	0.568
1478-3967	2.595
1463-9076	3.573
1474-7065	1.11
1753-3562	0.628
0031-9104	0.603
0342-1791	1.73
0031-9201	2.319
0836-1398	0.276
1070-6631	1.926
0272-3646	0.983
0375-9601	1.632
0370-2693	3.955
1571-0645	7.208
0031-9155	2.829
1047-9651	1.4
0940-6689	0.313
1120-1797	1.068
0031-918X	0.54
0194-2638	1.208
1063-7796	0.519
1422-6944	0.214
1070-664X	2.147
0370-1573	20.394
1050-2947	2.878
1098-0121	3.691
0556-2813	3.308
1550-7998	4.558
1539-3755	2.255
0031-9007	7.37
1098-4402	1.52
1554-9178	0.902
0031-8949	1.204
1063-7834	0.711
1862-6300	1.463
0370-1972	1.316
1862-6254	2.218
0031-9023	3.113
1466-853X	1.043
0031-9228	5.648
1541-308X	0.384
0953-8585	0.417
1063-7869	2.154
0378-4371	1.373
0921-4526	1.063
0921-4534	1.014
0167-2789	1.594
1386-9477	1.532
0091-3847	1.023
1643-1049	0.5
0031-9384	2.869
1522-2152	2.201
0307-6962	1.33
1094-8341	2.735
0967-3334	1.677
0885-5765	1.377
0031-9317	3.112
0862-8408	1.555
0031-9333	26.866
1548-9213	7.953
0300-0508	0.54
0031-9406	1.558
0958-0344	2.633
1874-3900	1.222
1568-7767	4.333
0031-9422	3.351
0340-269X	0.697
0944-7113	3.268
0079-2047	0.833
0031-9457	0.259
0334-2123	0.887
0031-9465	1.398
0031-949X	2.799
1179-3155	1.797
0951-418X	2.086
1755-1471	5.059
0369-9420	0.707
1386-341X	1.83
0143-4004	3.693
0032-0633	2.224
1435-8603	2.395
1126-3504	1.418
1467-7644	5.442
1863-5466	1.187
1342-4580	0.944
0179-9541	1.596
1040-4651	8.987
0140-7791	5.215
0032-0781	4.702
0721-7714	2.274
0167-6857	3.09
0191-2917	2.449
1385-0237	1.829
1755-0874	1.036
2032-3913	1.167
0921-9668	2.505
0167-6903	1.604
0960-7412	6.16
1746-4811	2.833
0167-4412	4.15
0735-9640	2.453
1836-0661	1.734
0032-0862	2.125
1598-2254	0.533
0032-0889	6.535
0981-9428	2.838
1343-943X	1
0168-9452	2.945
0032-079X	2.733
1214-1178	1.078
0913-557X	0.792
0378-2697	1.335
0032-0935	3
0032-0943	2.153
0272-4324	1.602
1051-9998	0.375
0741-3335	2.425
1063-780X	0.655
1612-8850	2.468
1009-0630	0.407
0963-0252	2.521
0147-619X	1.516
1557-1955	2.989
0091-9578	0.05
0032-1052	3.382
1465-8011	0.597
0953-7104	1.847
0032-1400	1.361
1544-9173	11.452
1553-734X	5.215
1553-7390	8.694
1549-1277	16.269
1935-2727	4.716
1932-6203	4.092
1553-7366	9.127
0021-8928	0.323
0032-3772	1.367
0137-5083	0.393
1509-8117	0.337
1505-2249	0.506
1230-1485	0.508
1733-1331	0.76
1233-9687	0.347
1505-1773	0.565
1233-2585	0.175
0138-0338	0.875
0722-4060	1.659
0032-2474	0.962
0800-0395	1.616
0104-1428	0.522
1040-6638	1.023
0277-5387	2.057
1042-7147	2.007
0170-0839	1.532
1759-9954	5.321
0272-8397	1.231
0141-3910	2.769
0032-3888	1.302
0959-8103	1.902
0032-3896	1.258
0967-3911	0.326
1558-3724	6.281
0965-545X	0.838
1560-0904	0.558
0142-9418	1.608
0379-153X	0.433
0360-2559	1.279
0032-3861	3.438
1438-3896	2.287
1942-7891	1.024
0032-5155	0.3
1385-1292	0.368
1642-395X	0.357
0032-5449	0.654
1734-9338	0.215
0079-4252	0.151
0324-833X	0.073
0032-5481	1.783
0032-5473	1.939
0925-5214	2.411
0926-2601	0.943
0032-5791	1.728
0885-7156	0.707
0032-5899	0.389
1068-1302	0.337
0032-5910	2.08
0032-5929	0.053
1687-4757	1.559
0032-678X	0.214
0032-681X	0.09
0304-4289	0.575
1269-1763	0.213
0301-9268	3.094
1385-2256	1.549
0141-6359	1.167
1090-3127	1.785
0197-3851	2.106
1082-6068	0.466
1054-7460	0.692
0032-7786	2.521
0755-4982	0.667
1545-1151	1.819
0091-7435	3.216
0167-5877	2.046
0095-4543	1.011
0032-8332	1.405
1933-6896	2.85
0269-9648	0.642
0178-8051	1.533
0266-8920	1.245
1562-6016	0.028
0032-9460	0.484
1359-5113	2.627
0957-5820	1.05
1066-8527	0.526
0990-0632	0.576
1059-1478	1.301
0953-7287	0.725
0953-6639	0
0376-0421	3
1000-3282	0.554
0079-6107	3.203
0079-6123	3.04
0033-0620	4.931
1005-281X	0.556
1468-4349	0.298
0960-8974	5.75
1559-8985	5.298
0360-1285	14.22
0079-6263	 
0079-6336	4.111
0079-6379	9.333
0163-7827	10.667
